zone,url
,http://mirror.unair.ac.id/debian/
,http://mr.heru.id/debian/
Iran,
,http://archive.debian.petiak.ir/debian/
,http://mirror.aminidc.com/debian/
,http://mirrors.pardisco.co/debian/
,http://repo.mirror.famaserver.com/debian/
Israel,
,http://debian.interhost.co.il/debian/
Italy,
,http://ftp.it.debian.org/debian/
,http://debian.connesi.it/debian/
,http://debian.dynamica.it/debian/
,http://debian.mirror.garr.it/debian/
,http://ftp.linux.it/debian/
,http://giano.com.dist.unige.it/debian/
,http://mirror.units.it/debian/
Japan,
,http://ftp.jp.debian.org/debian/
,http://debian-mirror.sakura.ne.jp/debian/
,http://dennou-k.gfd-dennou.org/debian/
,http://ftp.jaist.ac.jp/debian/
,http://ftp.nara.wide.ad.jp/debian/
,http://ftp.riken.jp/Linux/debian/debian/
,http://ftp.yz.yamagata-u.ac.jp/debian/
,http://mirrors.xtom.jp/debian/
Kazakhstan,
,http://mirror.hoster.kz/debian/
,http://mirror.ps.kz/debian/
Kenya,
,http://debian.mirror.ac.ke/debian/
,http://debian.mirror.liquidtelecom.com/debian/
Korea,
,http://ftp.lanet.kr/debian/
,http://mirror.keiminem.com/debian/
,http://mirror.pangkin.com/debian/
,http://mirror.siwoo.org/debian/
,http://mirror.yuki.net.uk/debian/
Latvia,
,http://debian.koyanet.lv/debian/
,http://mirror.cloudhosting.lv/debian/
,http://mirror.veesp.com/debian/
Lithuania,
,http://ftp.lt.debian.org/debian/
,http://debian.balt.net/debian/
,http://debian.mirror.vu.lt/debian/
,http://mirror.litnet.lt/debian/
Luxembourg,
,http://debian.mirror.root.lu/debian/
"Macedonia, Republic of",
,http://mirror.a1.mk/debian/
,http://mirror-mk.interspace.com/debian/
Mexico,
,http://debian.vranetworks.lat/debian/
,http://lidsol.fi-b.unam.mx/debian/
Morocco,
,http://mirror.marwan.ma/debian/
Nepal,
,http://mirrors.nepalicloud.com/debian/
Netherlands,
,http://ftp.nl.debian.org/debian/
,http://debian.snt.utwente.nl/debian/
,http://mirror.ams.macarne.com/debian/
,http://mirror.bgp.rodeo/debian/
,http://mirror.duocast.net/debian/
,http://mirror.nforce.com/debian/
,http://mirror.nl.cdn-perfprod.com/debian/
,http://mirror.nl.datapacket.com/debian/
,http://mirror.nl.leaseweb.net/debian/
,http://mirrors.hostiserver.com/debian/
,http://mirrors.xtom.nl/debian/
,http://mirror.tngnet.com/debian/
,http://mirror.vpgrp.io/debian/
,http://nl.mirror.flokinet.net/debian/
,http://nl.mirrors.clouvider.net/debian/
New Caledonia,
,http://ftp.nc.debian.org/debian/
,http://debian.nautile.nc/debian/
,http://mirror.lagoon.nc/debian/
New Zealand,
,http://ftp.nz.debian.org/debian/
,http://mirror.fsmg.org.nz/debian/
Norway,
,http://ftp.no.debian.org/debian/
,http://ftp.uio.no/debian/
Poland,
,http://ftp.pl.debian.org/debian/
,http://ftp.agh.edu.pl/debian/
,http://ftp.icm.edu.pl/pub/Linux/debian/
,http://ftp.psnc.pl/debian/
,http://ftp.task.gda.pl/debian/
Portugal,
,http://ftp.pt.debian.org/debian/
,http://debian.uevora.pt/debian/
,http://ftp.eq.uc.pt/software/Linux/debian/
,http://ftp.rnl.tecnico.ulisboa.pt/pub/debian/
,http://mirrors.up.pt/debian/
Puerto Rico,
,http://mirrors.upr.edu/debian/
Réunion,
,http://debian.mithril.re/debian/
,http://depot-debian.univ-reunion.fr/debian/
Romania,
,http://mirror.flo.c-f.ro/debian/
,http://mirror.linux.ro/debian/
,http://mirrors.hosterion.ro/debian/
,http://mirrors.hostico.ro/debian/
,http://mirrors.nav.ro/debian/
,http://mirrors.nxthost.com/debian/
,http://mirrors.pidginhost.com/debian/
,http://ro.mirror.flokinet.net/debian/
Russia,
,http://ftp.ru.debian.org/debian/
,http://ftp.psn.ru/debian/
,http://mirror.corbina.net/debian/
,http://mirror.docker.ru/debian/
,http://mirror.hyperdedic.ru/debian/
,http://mirror.mephi.ru/debian/
,http://mirror.neftm.ru/debian/
,http://mirrors.powernet.com.ru/debian/
,http://mirror.truenetwork.ru/debian/
,http://repository.su/debian/
Saudi Arabia,
,http://mirror.maeen.sa/debian/
Serbia,
,http://mirror.pmf.kg.ac.rs/debian/
Singapore,
,http://mirror.coganng.com/debian/
,http://mirror.djvg.sg/debian/
,http://mirror.sg.gs/debian/
Slovakia,
,http://ftp.sk.debian.org/debian/
,http://deb.bbxnet.sk/debian/
,http://ftp.antik.sk/debian/
,http://ftp.debian.sk/debian/
Slovenia,
,http://ftp.si.debian.org/debian/
South Africa,
,http://debian.envisagecloud.net.za/debian/
,http://debian.saix.net/
,http://ftp.is.co.za/debian/
Spain,
,http://ftp.es.debian.org/debian/
,http://debian.grn.cat/debian/
,http://debian.redimadrid.es/debian/
,http://debian.redparra.com/debian/
,http://ftp.cica.es/debian/
,http://ftp.udc.es/debian/
,http://mirror.raiolanetworks.com/debian/
,http://repo.ifca.es/debian/
,http://softlibre.unizar.es/debian/
,http://ulises.hostalia.com/debian/
Sweden,
,http://ftp.se.debian.org/debian/
,http://debian.lth.se/debian/
,http://ftp.acc.umu.se/debian/
,http://ftp.ludd.ltu.se/debian/
,http://ftpmirror1.infania.net/debian/
,http://mirror.braindrainlan.nu/debian/
,http://mirrors.glesys.net/debian/
Switzerland,
,http://ftp.ch.debian.org/debian/
,http://debian.ethz.ch/debian/
,http://deb.nextgen.ch/debian/
,http://linuxsoft.cern.ch/debian/
,http://mirror1.infomaniak.com/debian/
,http://mirror2.infomaniak.com/debian/
,http://mirror.init7.net/debian/
,http://mirror.iway.ch/debian/
,http://mirror.metanet.ch/debian/
,http://mirror.sinavps.ch/debian/
,http://pkg.adfinis-on-exoscale.ch/debian/
Taiwan,
,http://ftp.tw.debian.org/debian/
,http://debian.ccns.ncku.edu.tw/debian/
,http://debian.csie.ntu.edu.tw/debian/
,http://debian.cs.nycu.edu.tw/debian/
,http://ftp.tku.edu.tw/debian/
,http://mirror.twds.com.tw/debian/
,http://opensource.nchc.org.tw/debian/
,http://tw1.mirror.blendbyte.net/debian/
Thailand,
,http://ftp.debianclub.org/debian/
,http://mirror.applebred.net/debian/
,http://mirror.kku.ac.th/debian/
Ukraine,
,http://debian.netforce.hosting/debian/
,http://debian.volia.net/debian/
,http://mirror.mirohost.net/debian/
,http://mirror.ukrnames.com/debian/
United Kingdom,
,http://ftp.uk.debian.org/debian/
,http://debian.mirrors.uk2.net/debian/
,http://debian.mirror.uk.sargasso.net/debian/
,http://free.hands.com/debian/
,http://ftp.ticklers.org/debian/
,http://mirror.cov.ukservers.com/debian/
